ps_id	title	organisation	ministry	category	theme	description_short
26001	AI-Based early warning and landslide Risk Monitoring System in NER	Ministry of Development of North Eastern Region (MDoNER)	Ministry of Development of North Eastern Region (MDoNER)	Software	Disaster Management	Background: The North Eastern Region (NER) frequently faces landslides, flash floods, road blockages, and slope failures due to heavy rainfall, fragile terrain, and unplanned hill cutting. These
26002	Al-Based Smart Logistics and Accessibility Intelligence Platform for North Eastern Region (NER)	Ministry of Development of North Eastern Region (MDoNER)	Ministry of Development of North Eastern Region (MDoNER)	Software	Transportation & Logistics	Background: The North Eastern Region (NER) faces major logistics and accessibility challenges due to difficult terrain, extreme weather conditions, limited transport connectivity, and frequent road
26003	AI-Based Cognitive Gaming and Memory Assistance Platform for Elderly Dementia Patients in North Eastern Region (NER)	Ministry of Development of North Eastern Region (MDoNER)	Ministry of Development of North Eastern Region (MDoNER)	Software	MedTech / BioTech / HealthTech	Background: The North Eastern Region (NER) is witnessing a gradual rise in age-related cognitive disorders such as dementia and memory loss among the elderly population. Many families in remote and
26004	Al-Assisted Early Detection System for Osteoarthritis (OA) Risk Markers in North Eastern Region (NER)	Ministry of Development of North Eastern Region (MDoNER)	Ministry of Development of North Eastern Region (MDoNER)	Hardware	MedTech / BioTech / HealthTech	Background: Osteoarthritis (OA) is one of the most common musculoskeletal disorders affecting elderly individuals and physically active populations, leading to chronic pain, joint stiffness, mobility
26005	Solar-Powered Smart Mini Cold Storage System for Fresh Vegetables in North Eastern Region (NER)	Ministry of Development of North Eastern Region (MDoNER)	Ministry of Development of North Eastern Region (MDoNER)	Hardware	Agriculture, FoodTech & Rural Development	Background: The North Eastern Region (NER) produces a substantial quantity of fresh vegetables and horticultural crops. However, due to inadequate cold storage infrastructure, unreliable electricity
26006	Development of an Intelligent Freight Forecasting Model for Optimized Vessel Chartering and Bulk Cargo Procurement from overseas to East Coast of India	Ministry of Steel	SAIL	Software	Transportation & Logistics	Background: The current approach to vessel chartering for bulk cargo procurement to India's East Coast ports often involves daily market exploration, leading to reactive decision-making and likely
26007	Safe and Efficient Operation of Mine Vehicles in Fog and Low-Visibility Conditions in Open Cast Iron Ore Mines.	Ministry of Steel	NMDC	Hardware	Smart Automation	Background: NMDC Limited is Indiaâ€™s largest Iron Ore producer, currently producing approximately 53 Million Tonnes Per Annum (MTPA) from its three fully mechanized mining complexes, namely
26008	Belt Joint Rupture and Conveyor Belt Damages in Iron Ore Mining Industry: Intelligent Monitoring and Prediction of Conveyor Belt Joint Rupture and Damages in Iron Ore Mining Industry.	Ministry of Steel	NMDC	Hardware	Smart Automation	Background: In the iron ore mining industry, conveyor belt systems are the backbone of material transportation, enabling continuous movement of iron ore from mining faces to crushing, screening,
26009	Using AI/ML and Space Technology to Identify Manganese Reserves and Overcome Production Shortfalls.	Ministry of Steel	MOIL Ltd.	Software	Space Technology	Background: MOIL Limited is the largest producer of Manganese Ore in India. To meet future demand, it is important to accurately identify available reserves and avoid production shortfalls. At
26010	Survey/Resurvey of Rural Agricultural Land in lndia	Ministry of Rural Development	Dept of land resources (DoLR)	Hardware	Agriculture, FoodTech & Rural Development	Background: Historically, land surveys in rural lndia were conducted using conventional chain and tape methods, many of which date back several decades or even the colonial period. Over time,
26011	3D ULPIN Generation and vertical Property Mapping SYstem	Ministry of Rural Development	Dept of land resources (DoLR)	Software	Smart Automation	Background: With rapid urbanization and vertical growth of cities, conventional 2D land record Systems are becoming inadequate for managing modern urban properties.Existing land administration
26012	AI-Based Automated Urban Parcel Mapping and Cadastral Feature Extraction System using Drone lmagery	Ministry of Rural Development	Dept of land resources (DoLR)	Software	Smart Automation	Background: Accurate and up-to-date urban land records are essential for effective land governance, urban planning, taxation, infrastructure development, and delivery of citizen-centric services. At
26013	Automated lntegration and lntelligent Harmonization of Multi-source Geospatial Data for urban Land Record Management.	Ministry of Rural Development	Dept of land resources (DoLR)	Software	Smart Automation	Background: Urban land administration and cadastral management involve integration of multiple spatial and non-spatial datasets generated from various departments,agencies,and survey mechanisms.
26014	An lntegrated GIS-based Digital Public lnfrastructure for Land Governance	Ministry of Rural Development	Dept of land resources (DoLR)	Software	Agriculture, FoodTech & Rural Development	Background: Land governance in lndia involves multiple institutions maintaining land-related information in fragmented and disconnected systems. Core datasets such as cadastral maps, Record of Rights
26015	Application of Geospatial Techniques for visualization and analysis to interpret Geo-Coded lmages to enhance watershed Development Outcomes.	Ministry of Rural Development	Dept of land resources (DoLR)	Software	Agriculture, FoodTech & Rural Development	Background: Watershed development plays a vital role in sustainable management of land, water, and natural resources, particularly in rural and semi-arid regions of lndia. Effective watershed
26016	Real-Time National Land Acquisition & Management System for End-to-End Digital Monitoring and Decision Support	Ministry of Rural Development	Dept of land resources (DoLR)	Software	Smart Automation	Background: Land acquisition is a critical component of infrastructure development and public welfare projects in India. It facilitates the implementation of highways, railways, industrial corridors,
26017	Predictive Analytics System for Early Detection of Land Acquisition Delays	Ministry of Rural Development	Dept of land resources (DoLR)	Software	Smart Automation	Background: Land acquisition is one of the most critical and time-sensitive phases of infrastructure development. Delays in acquiring land significantly impact the execution of national and
